model,task,method,ASR_100,ASR_300,ASR_500,ASR_800,ASR_1000,ASR_2000,ASR_3000
unixcoder,VP,wir,35.63084112149533,70.56074766355141,73.71495327102804,74.53271028037383,74.64953271028037,74.76635514018692,74.76635514018692
unixcoder,VP,wir_DMAP,48.71495327102804,71.32009345794393,73.18925233644859,73.83177570093457,73.94859813084112,73.94859813084112,73.94859813084112
unixcoder,VP,rnns,6.425233644859812,43.04906542056075,59.404205607476634,69.50934579439252,71.90420560747664,74.70794392523365,74.88317757009347
unixcoder,VP,rnns_DMAP,14.19392523364486,54.90654205607477,67.7570093457944,72.3714953271028,73.36448598130842,73.83177570093457,73.89018691588785
unixcoder,CD,alert,0.3865979381443299,3.402061855670103,5.077319587628866,6.314432989690721,6.72680412371134,7.706185567010309,8.221649484536082
unixcoder,CD,alert_DMAP,1.7783505154639174,5.59278350515464,7.242268041237114,8.015463917525773,8.324742268041236,9.407216494845361,9.561855670103093
unixcoder,CD,wir,4.278350515463917,23.4020618556701,27.37113402061856,28.45360824742268,28.60824742268041,28.60824742268041,28.60824742268041
unixcoder,CD,wir_DMAP,12.268041237113401,27.293814432989688,28.09278350515464,28.170103092783506,28.170103092783506,28.170103092783506,28.170103092783506
unixcoder,CD,rnns,0.051546391752577324,3.1958762886597936,10.824742268041238,23.01546391752577,28.4020618556701,34.92268041237113,35.77319587628866
unixcoder,CD,rnns_DMAP,0.6701030927835051,9.561855670103093,23.556701030927833,32.448453608247426,33.8659793814433,35.36082474226804,35.386597938144334
unixcoder,DP,alert,3.320537428023033,45.489443378119006,54.395393474088294,58.59884836852207,59.90403071017274,61.66986564299424,61.880998080614205
unixcoder,DP,alert_DMAP,19.328214971209214,54.37619961612285,58.34932821497121,60.03838771593091,60.422264875239925,60.80614203454895,60.80614203454895
unixcoder,DP,wir,40.019193857965455,57.58157389635316,58.69481765834933,58.71401151631478,58.71401151631478,58.71401151631478,58.71401151631478
unixcoder,DP,wir_DMAP,47.063339731285986,57.63915547024953,57.69673704414588,57.69673704414588,57.69673704414588,57.69673704414588,57.69673704414588
unixcoder,DP,rnns,0.0,9.309021113243762,16.218809980806142,24.472168905950095,27.907869481765836,33.22456813819578,33.32053742802303
unixcoder,DP,rnns_DMAP,0.28790786948176583,14.875239923224568,24.798464491362765,30.84452975047985,31.593090211132434,31.823416506717848,31.823416506717848
unixcoder,CC,alert,16.917293233082706,29.69924812030075,31.76691729323308,32.70676691729324,32.89473684210527,33.27067669172932,33.27067669172932
unixcoder,CC,alert_DMAP,22.932330827067666,32.142857142857146,32.89473684210527,33.08270676691729,33.08270676691729,33.27067669172932,33.45864661654135
unixcoder,CC,wir,32.25806451612903,55.14592933947773,57.6036866359447,57.91090629800307,57.91090629800307,58.06451612903226,58.06451612903226
unixcoder,CC,wir_DMAP,46.54377880184332,57.6036866359447,58.06451612903226,58.06451612903226,58.06451612903226,58.06451612903226,58.06451612903226
unixcoder,CC,rnns,0.5639097744360901,31.015037593984964,48.30827067669173,62.78195488721805,66.72932330827066,70.67669172932331,70.86466165413535
unixcoder,CC,rnns_DMAP,5.827067669172932,48.68421052631579,62.59398496240601,69.17293233082707,70.48872180451127,71.2406015037594,71.2406015037594
plbart,VP,alert,19.48130277442702,63.08805790108565,72.91917973462002,75.63329312424608,76.05548854041014,76.41737032569361,76.47768395657418
plbart,VP,alert_DMAP,38.057901085645355,70.86851628468034,74.90952955367914,75.39203860072377,75.45235223160435,75.63329312424608,75.69360675512667
plbart,VP,wir,50.60313630880579,83.11218335343787,86.12786489746684,87.03256936067551,87.15319662243667,87.21351025331725,87.21351025331725
plbart,VP,wir_DMAP,63.872135102533164,83.5946924004825,85.3437876960193,85.70566948130278,85.76598311218335,85.82629674306393,85.82629674306393
plbart,VP,rnns,9.650180940892641,59.891435464414954,79.61399276236429,87.6357056694813,89.3848009650181,90.65138721351025,90.89264173703256
plbart,VP,rnns_DMAP,23.22074788902292,75.69360675512667,86.73100120627262,89.80699638118215,90.10856453558505,90.65138721351025,90.65138721351025
plbart,CD,alert,6.610082304526749,13.477366255144032,16.203703703703702,20.9619341563786,23.070987654320987,28.16358024691358,29.526748971193417
plbart,CD,alert_DMAP,10.2880658436214,17.59259259259259,22.145061728395063,25.79732510288066,27.289094650205765,29.218106995884774,29.449588477366255
plbart,CD,wir,7.690329218106997,32.227366255144034,35.23662551440329,35.75102880658436,35.77674897119342,35.77674897119342,35.77674897119342
plbart,CD,wir_DMAP,19.470164609053498,34.85082304526749,35.26234567901235,35.339506172839506,35.339506172839506,35.339506172839506,35.339506172839506
plbart,CD,rnns,0.07716049382716049,21.862139917695472,34.15637860082305,44.11008230452675,47.04218106995885,52.41769547325102,53.163580246913575
plbart,CD,rnns_DMAP,3.8580246913580245,30.915637860082306,43.132716049382715,50.07716049382716,51.64609053497943,53.086419753086425,53.11213991769548
plbart,DP,alert,19.516871165644172,77.07055214723927,85.46779141104295,87.61503067484662,87.9601226993865,88.30521472392638,88.30521472392638
plbart,DP,alert_DMAP,43.826687116564415,84.01073619631902,86.34969325153375,86.42638036809815,86.42638036809815,86.42638036809815,86.42638036809815
plbart,DP,wir,53.25920245398773,88.91871165644172,89.49386503067484,89.57055214723927,89.57055214723927,89.57055214723927,89.57055214723927
plbart,DP,wir_DMAP,69.670245398773,87.23159509202453,87.23159509202453,87.23159509202453,87.23159509202453,87.23159509202453,87.23159509202453
plbart,DP,rnns,0.23006134969325154,64.7239263803681,80.09969325153375,87.69171779141104,90.68251533742331,93.71165644171779,93.75
plbart,DP,rnns_DMAP,5.598159509202454,77.76073619631902,87.26993865030674,91.37269938650306,91.64110429447852,91.67944785276073,91.67944785276073
plbart,CC,alert,45.97249508840864,61.68958742632613,66.40471512770138,68.36935166994105,69.3516699410609,71.31630648330058,71.31630648330058
plbart,CC,alert_DMAP,55.0098231827112,66.2082514734774,68.36935166994105,68.95874263261297,69.74459724950884,70.13752455795678,70.13752455795678
plbart,CC,wir,35.952848722986246,46.36542239685658,47.347740667976424,47.347740667976424,47.347740667976424,47.347740667976424,47.347740667976424
plbart,CC,wir_DMAP,44.00785854616896,46.95481335952849,46.95481335952849,46.95481335952849,46.95481335952849,46.95481335952849,46.95481335952849
plbart,CC,rnns,31.041257367387033,62.67190569744597,68.17288801571709,71.51277013752456,72.69155206286837,73.6738703339882,73.6738703339882
plbart,CC,rnns_DMAP,44.9901768172888,68.36935166994105,71.51277013752456,72.88801571709233,73.6738703339882,73.87033398821218,73.87033398821218
